
Epoch:   0%|                                                                                                                   | 0/5 [00:00<?, ?it/s]
0 116 	| 1.7704 	| 0.3438 	| tensor([14,  4,  9,  5,  7,  8,  7,  7, 12,  5], device='cuda:0')
0 117 	| 1.9762 	| 0.25 	| tensor([ 5,  9,  9,  7,  1,  4, 12, 11,  7,  7], device='cuda:0')
0 118 	| 1.7693 	| 0.25 	| tensor([13, 13,  0,  4,  7,  6,  6, 12, 12,  6], device='cuda:0')
0 119 	| 2.2003 	| 0.25 	| tensor([ 2, 11,  3,  6,  7, 14, 10,  5,  7, 13], device='cuda:0')
0 120 	| 1.8818 	| 0.4062 	| tensor([12, 10, 11, 14, 11,  1, 13,  5,  7, 14], device='cuda:0')
0 121 	| 1.5268 	| 0.5625 	| tensor([12,  4,  7,  9,  6,  6,  4,  1,  2,  9], device='cuda:0')
0 122 	| 2.2484 	| 0.25 	| tensor([ 5, 11, 13, 11,  2,  2,  4,  9, 14,  8], device='cuda:0')
0 123 	| 1.8762 	| 0.3438 	| tensor([13, 11,  4,  9, 11, 14, 14,  1, 12, 11], device='cuda:0')
0 124 	| 1.7394 	| 0.375 	| tensor([11,  1,  9, 13,  2,  2,  6,  7, 14, 14], device='cuda:0')
0 125 	| 2.1297 	| 0.3125 	| tensor([11, 12,  7,  2, 11, 12,  0, 10, 14,  7], device='cuda:0')
0 126 	| 2.4181 	| 0.1875 	| tensor([11,  5, 11,  5,  1,  5, 10,  2,  5,  2], device='cuda:0')
0 127 	| 2.0866 	| 0.3125 	| tensor([10,  4,  2,  6,  9, 12, 14, 11, 12, 11], device='cuda:0')
0 128 	| 1.8745 	| 0.4062 	| tensor([ 6, 13, 11,  9, 11, 12, 12, 11, 13,  8], device='cuda:0')
0 129 	| 1.618 	| 0.5 	| tensor([ 1,  1, 14,  2, 12, 14, 11, 11,  7,  2], device='cuda:0')
0 130 	| 1.7781 	| 0.4688 	| tensor([11, 13, 12,  2,  7, 10,  9,  8, 10, 14], device='cuda:0')
0 131 	| 2.1277 	| 0.4062 	| tensor([13,  1,  2, 11, 13,  4, 12, 13, 11,  6], device='cuda:0')
0 132 	| 2.0041 	| 0.3438 	| tensor([ 6, 10,  4,  9, 11, 12,  9, 11,  2, 14], device='cuda:0')
0 133 	| 1.815 	| 0.375 	| tensor([ 9, 12,  5, 11, 12, 14,  9, 12, 13, 11], device='cuda:0')
0 134 	| 2.1642 	| 0.25 	| tensor([11,  5,  9, 12, 12,  5, 12,  1, 13, 11], device='cuda:0')
0 135 	| 2.122 	| 0.25 	| tensor([ 9, 10,  0, 11,  7,  2,  2,  5,  7,  3], device='cuda:0')
0 136 	| 1.8965 	| 0.375 	| tensor([ 9,  6, 11,  3, 12, 13,  5, 14,  5, 12], device='cuda:0')
0 137 	| 2.0627 	| 0.2812 	| tensor([ 7, 10, 14,  5,  2,  6,  5,  7,  9,  7], device='cuda:0')
0 138 	| 2.0781 	| 0.375 	| tensor([ 5,  7, 11, 10,  1,  6, 12,  0,  5, 13], device='cuda:0')
0 139 	| 1.7071 	| 0.2188 	| tensor([10, 12, 12,  6, 11,  3,  3,  5, 13,  7], device='cuda:0')
0 140 	| 1.9684 	| 0.25 	| tensor([12, 10,  6, 14,  2, 11,  7, 11,  1, 12], device='cuda:0')
0 141 	| 2.3087 	| 0.2812 	| tensor([ 8,  5,  2,  8, 13, 11,  8,  4, 14, 11], device='cuda:0')
0 142 	| 2.1342 	| 0.375 	| tensor([ 8,  5, 14, 11, 11,  3,  8,  0, 13,  7], device='cuda:0')
0 143 	| 1.8015 	| 0.3438 	| tensor([ 8, 11,  6, 10,  7,  9,  8, 11, 13,  6], device='cuda:0')
0 144 	| 2.0623 	| 0.2812 	| tensor([12,  9,  9,  5,  3,  7, 10,  8,  9, 11], device='cuda:0')
0 145 	| 1.7569 	| 0.4062 	| tensor([ 6,  3,  2,  1,  3,  7,  6, 13, 10,  8], device='cuda:0')
0 146 	| 1.9649 	| 0.2812 	| tensor([ 7,  5,  7, 11,  1,  6,  8,  9,  2,  9], device='cuda:0')
0 147 	| 3.6106 	| 0.25 	| tensor([ 8,  7,  2, 12, 13, 12,  9, 11,  3,  7], device='cuda:0')
0 148 	| 1.8661 	| 0.375 	| tensor([ 7, 14,  4,  3, 11, 13,  7, 12, 13, 13], device='cuda:0')
0 149 	| 1.9609 	| 0.3438 	| tensor([11,  8, 10,  8,  6, 12,  7, 13,  3,  4], device='cuda:0')
0 150 	| 1.4417 	| 0.5 	| tensor([ 9, 11,  7, 14, 14, 14, 11,  8, 11, 11], device='cuda:0')
0 151 	| 2.0525 	| 0.4375 	| tensor([ 2,  9, 11, 11,  7,  8,  9,  6,  9, 13], device='cuda:0')
0 152 	| 1.8827 	| 0.4375 	| tensor([ 7,  8, 11, 11,  9,  7, 13, 11, 11, 11], device='cuda:0')
0 153 	| 1.8776 	| 0.4688 	| tensor([11,  8, 11,  9,  2,  0,  8,  7,  8,  2], device='cuda:0')
0 154 	| 2.1049 	| 0.3438 	| tensor([ 1,  7, 12, 13,  4,  8, 11,  7,  8, 14], device='cuda:0')
0 155 	| 2.2896 	| 0.3125 	| tensor([11,  3,  6,  8, 13, 11,  2, 14,  9, 12], device='cuda:0')
0 156 	| 1.4967 	| 0.5312 	| tensor([ 5,  9, 14, 11,  1,  5,  7, 14, 14, 14], device='cuda:0')
0 157 	| 2.3519 	| 0.1875 	| tensor([ 4, 14, 11,  2,  8, 14, 13,  7,  0,  4], device='cuda:0')
0 158 	| 1.8096 	| 0.4062 	| tensor([ 4,  4,  8,  7, 14,  1,  9,  5,  8,  5], device='cuda:0')
