
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
0 130 	| 2.2 	| 0.4062 	| tensor([ 8, 13,  5,  2,  4,  1,  1, 11, 10, 13], device='cuda:0')
0 131 	| 2.1638 	| 0.3438 	| tensor([ 5,  7, 10,  1,  4, 10,  5,  8,  5, 14], device='cuda:0')
0 132 	| 2.2068 	| 0.3438 	| tensor([ 7,  5, 14,  5,  3,  5,  7,  3,  0, 10], device='cuda:0')
0 133 	| 1.7992 	| 0.4062 	| tensor([ 0, 13, 12,  5, 13,  4,  4,  5,  0,  5], device='cuda:0')
0 134 	| 2.1594 	| 0.2812 	| tensor([ 3,  4,  1,  5,  2,  8,  3, 14,  5, 13], device='cuda:0')
0 135 	| 2.2092 	| 0.375 	| tensor([13,  4, 13,  4,  2, 13,  0,  0, 12,  7], device='cuda:0')
0 136 	| 2.2979 	| 0.375 	| tensor([12,  1,  5,  1, 12,  7,  8,  7,  0,  5], device='cuda:0')
0 137 	| 1.9451 	| 0.4062 	| tensor([ 0,  3,  0, 13,  3, 13,  2,  8,  3,  8], device='cuda:0')
0 138 	| 1.8605 	| 0.5 	| tensor([ 1, 10,  1,  7,  0, 13,  0,  7,  3,  5], device='cuda:0')
0 139 	| 2.3107 	| 0.25 	| tensor([ 1, 13,  3,  7,  3, 14,  0,  3,  1, 10], device='cuda:0')
0 140 	| 1.6578 	| 0.375 	| tensor([ 0, 11, 10, 10,  8, 11,  0, 13,  2, 10], device='cuda:0')
0 141 	| 2.0816 	| 0.2812 	| tensor([12,  8,  1,  0,  3,  9,  7,  8, 13,  1], device='cuda:0')
0 142 	| 1.9799 	| 0.4062 	| tensor([13,  2, 14,  5,  3,  6,  3,  4,  8, 14], device='cuda:0')
0 143 	| 2.1051 	| 0.25 	| tensor([ 5, 12,  6,  8,  7,  8,  3,  6,  6,  3], device='cuda:0')
0 144 	| 2.3998 	| 0.1562 	| tensor([ 6,  4,  5,  9,  4,  5,  3, 11, 13,  6], device='cuda:0')
0 145 	| 2.0006 	| 0.2812 	| tensor([13,  0,  3,  9,  6,  2,  0, 11, 13, 10], device='cuda:0')
0 146 	| 2.3043 	| 0.3438 	| tensor([ 5,  8,  1, 12,  2,  3, 13,  6,  8,  3], device='cuda:0')
0 147 	| 2.3345 	| 0.2188 	| tensor([ 5,  8,  8,  6,  3,  5,  3,  6,  3, 13], device='cuda:0')
0 148 	| 1.6965 	| 0.375 	| tensor([12,  8,  0,  3,  3,  1, 13,  6, 13, 10], device='cuda:0')
0 149 	| 2.0719 	| 0.2812 	| tensor([ 6,  6, 11,  6,  9, 12,  6,  8, 11, 13], device='cuda:0')
0 150 	| 2.2976 	| 0.2188 	| tensor([ 3,  6, 10, 13,  0,  8, 11, 13, 10,  8], device='cuda:0')
0 151 	| 2.0759 	| 0.2188 	| tensor([ 6,  4,  6,  8,  3, 10,  8,  7,  6,  3], device='cuda:0')
0 152 	| 2.098 	| 0.25 	| tensor([ 9,  0,  6,  6,  6,  6,  6,  4, 14,  6], device='cuda:0')
0 153 	| 2.3162 	| 0.2188 	| tensor([ 2,  6,  4, 13,  6,  6,  6,  6, 10,  7], device='cuda:0')
0 154 	| 2.4945 	| 0.2812 	| tensor([ 6,  6,  6,  3, 11,  3,  8,  2,  2, 14], device='cuda:0')
0 155 	| 1.6666 	| 0.4062 	| tensor([ 2,  6, 11, 13,  3,  3,  6,  6,  9,  6], device='cuda:0')
0 156 	| 1.8139 	| 0.4062 	| tensor([ 6, 14,  4,  6, 12,  3,  1, 13,  1,  4], device='cuda:0')
0 157 	| 2.1973 	| 0.25 	| tensor([ 0, 11,  6,  4, 11,  7,  0,  7,  3,  9], device='cuda:0')
0 158 	| 2.338 	| 0.3125 	| tensor([10,  3,  0, 11,  6, 11, 10, 11,  3, 12], device='cuda:0')
0 159 	| 1.9961 	| 0.2812 	| tensor([13,  7,  1,  3,  4,  6,  7, 13, 10,  5], device='cuda:0')
0 160 	| 1.8735 	| 0.375 	| tensor([13,  3,  5,  2,  1, 13, 14, 11,  6,  7], device='cuda:0')
