
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
0 84 	| 1.7335 	| 0.4375 	| tensor([ 9,  6, 10,  1,  5,  0, 12,  6,  8,  8], device='cuda:0')
0 85 	| 2.4743 	| 0.3125 	| tensor([ 3,  8,  8, 10,  7,  6,  8,  5,  3, 13], device='cuda:0')
0 86 	| 1.9351 	| 0.375 	| tensor([10,  0,  2,  2, 12,  5,  0,  8,  8, 13], device='cuda:0')
0 87 	| 2.1492 	| 0.3125 	| tensor([ 9,  8,  2, 13,  6, 10,  8,  3, 13, 13], device='cuda:0')
0 88 	| 2.1942 	| 0.25 	| tensor([ 5,  1, 13,  7,  8,  7,  2, 13,  0,  9], device='cuda:0')
0 89 	| 2.0313 	| 0.375 	| tensor([ 3,  8, 13,  6,  6,  1,  6,  6,  8, 13], device='cuda:0')
0 90 	| 1.803 	| 0.4688 	| tensor([13, 13,  9, 14, 13,  8, 14,  8, 14,  8], device='cuda:0')
0 91 	| 2.4601 	| 0.3438 	| tensor([ 4,  7,  8, 10,  8,  6,  8,  0, 10,  4], device='cuda:0')
0 92 	| 2.0807 	| 0.3438 	| tensor([13,  6,  6, 13,  8, 13,  3,  5,  8, 10], device='cuda:0')
0 93 	| 1.7758 	| 0.4688 	| tensor([14,  0, 12,  7,  9,  6,  7,  6,  8,  6], device='cuda:0')
0 94 	| 2.1693 	| 0.4062 	| tensor([ 9,  8,  1,  7, 10,  8,  1,  3,  8,  8], device='cuda:0')
0 95 	| 1.9291 	| 0.4062 	| tensor([ 2,  6,  7, 13, 10,  7, 13,  0,  0, 14], device='cuda:0')
0 96 	| 1.8689 	| 0.4062 	| tensor([13,  8, 13,  4,  3,  1, 10,  0,  7, 13], device='cuda:0')
0 97 	| 2.1484 	| 0.3125 	| tensor([13,  5,  9,  6,  6, 13,  1,  9,  8,  7], device='cuda:0')
0 98 	| 1.9183 	| 0.375 	| tensor([11,  7,  5,  5, 10, 10,  8,  8,  8,  7], device='cuda:0')
0 99 	| 1.9918 	| 0.3438 	| tensor([ 0,  7,  7, 11,  6,  3,  3,  6,  0,  7], device='cuda:0')
0 100 	| 2.1333 	| 0.375 	| tensor([ 1,  4,  4,  3,  9, 14, 12,  1, 13, 13], device='cuda:0')
0 101 	| 2.3638 	| 0.375 	| tensor([3, 7, 1, 1, 7, 1, 8, 3, 1, 3], device='cuda:0')
0 102 	| 1.7978 	| 0.4062 	| tensor([ 6, 13, 12, 14,  8,  9, 12,  1, 14,  4], device='cuda:0')
0 103 	| 2.3992 	| 0.25 	| tensor([ 1,  1,  9,  7, 12,  3,  6, 13,  4, 11], device='cuda:0')
0 104 	| 1.788 	| 0.4062 	| tensor([ 1,  5,  6, 10,  1,  7, 13, 11, 11, 11], device='cuda:0')
0 105 	| 2.0376 	| 0.375 	| tensor([13,  5, 10,  7,  3,  7,  6,  6,  7,  1], device='cuda:0')
0 106 	| 1.4996 	| 0.5 	| tensor([ 8, 13,  7, 13,  8, 14, 10,  8,  7,  8], device='cuda:0')
0 107 	| 1.9606 	| 0.4062 	| tensor([10,  9,  8,  7,  1,  8,  7,  1,  6, 13], device='cuda:0')
0 108 	| 2.0593 	| 0.4062 	| tensor([14,  9, 13,  3, 10, 10,  4,  1, 14, 14], device='cuda:0')
