
Epoch:   0%|                                                                                                                   | 0/5 [00:00<?, ?it/s]
1 94 	| 1.4442 	| 2.0298 	| 0.0779 	| 0.1562
1 95 	| 1.3232 	| 1.8735 	| 0.0393 	| 0.3438
1 96 	| 1.1766 	| 1.664 	| 0.0393 	| 0.4375
1 97 	| 1.3678 	| 1.9152 	| 0.0905 	| 0.25
1 98 	| 1.515 	| 2.1315 	| 0.0763 	| 0.2812
1 99 	| 1.4657 	| 2.0746 	| 0.0448 	| 0.2812
1 100 	| 1.7921 	| 2.5323 	| 0.0651 	| 0.3438
1 101 	| 1.45 	| 2.0448 	| 0.0623 	| 0.4062
1 102 	| 1.4137 	| 1.9934 	| 0.0612 	| 0.375
1 103 	| 1.2303 	| 1.7406 	| 0.0394 	| 0.5
1 104 	| 1.4362 	| 2.0243 	| 0.0639 	| 0.375
1 105 	| 1.8098 	| 2.554 	| 0.0731 	| 0.125
1 106 	| 1.4363 	| 2.0108 	| 0.0959 	| 0.2812
1 107 	| 1.6513 	| 2.3268 	| 0.0751 	| 0.25
1 108 	| 1.3899 	| 1.9568 	| 0.0672 	| 0.2812
1 109 	| 1.2448 	| 1.7617 	| 0.0387 	| 0.5
1 110 	| 1.7047 	| 2.4076 	| 0.0646 	| 0.25
1 111 	| 1.2562 	| 1.7686 	| 0.0606 	| 0.3438
1 112 	| 1.2932 	| 1.8256 	| 0.0511 	| 0.5312
1 113 	| 1.382 	| 1.9477 	| 0.0621 	| 0.4062
1 114 	| 1.52 	| 2.1436 	| 0.0651 	| 0.2188
1 115 	| 1.6531 	| 2.3388 	| 0.053 	| 0.2188
1 116 	| 1.2256 	| 1.7247 	| 0.0612 	| 0.4375
1 117 	| 1.2225 	| 1.7106 	| 0.0836 	| 0.4688
1 118 	| 1.363 	| 1.9219 	| 0.0589 	| 0.4688
1 119 	| 1.4525 	| 2.0432 	| 0.0741 	| 0.25
1 120 	| 1.4601 	| 2.0604 	| 0.0592 	| 0.2812
1 121 	| 1.2728 	| 1.7827 	| 0.0831 	| 0.3438
1 122 	| 1.5944 	| 2.2527 	| 0.0582 	| 0.3438
1 123 	| 1.3979 	| 1.9598 	| 0.0868 	| 0.3125
1 124 	| 1.6109 	| 2.2575 	| 0.102 	| 0.1562
1 125 	| 1.2521 	| 1.7724 	| 0.0383 	| 0.4688
1 126 	| 1.4449 	| 2.0371 	| 0.0631 	| 0.2188
1 127 	| 1.4496 	| 2.0252 	| 0.1064 	| 0.2188
1 128 	| 1.3747 	| 1.9396 	| 0.0569 	| 0.375
1 129 	| 1.1626 	| 1.6105 	| 0.1175 	| 0.4062
1 130 	| 1.1942 	| 1.6786 	| 0.0642 	| 0.4062
1 131 	| 1.4553 	| 2.0512 	| 0.0649 	| 0.2812
1 132 	| 1.6744 	| 2.3498 	| 0.0985 	| 0.3125
